atom_type,importance
C,0.16675685346126556
CA,0.16675685346126556
CB,0.17598047852516174
CD,0.1967330127954483
CD1,0.21748603880405426
CD2,0.23823949694633484
CE,0.2509116232395172
CE1,0.24742291867733002
CE2,0.24393412470817566
CE3,0.2404467761516571
CG,0.23647962510585785
CG1,0.23083852231502533
CG2,0.22519731521606445
CH2,0.21955616772174835
CZ,0.21795277297496796
CZ2,0.2486511766910553
CZ3,0.27934950590133667
O,0.31004786491394043
OH,0.3407462239265442
OD1,0.32058078050613403
OD2,0.3004154562950134
OE1,0.28025010228157043
OE2,0.26008474826812744
OG,0.2882886826992035
OG1,0.32253870368003845
N,0.3567888140678406
NE,0.39103883504867554
NE1,0.3757607638835907
NE2,0.34633395075798035
ND1,0.3169058859348297
ND2,0.2874777615070343
NZ,0.2718693017959595
NH1,0.2631714642047882
NH2,0.25447365641593933
SD,0.24577569961547852
SG,0.24191004037857056
UNKNOWN,0.24191004037857056
