atom_type,importance_sum
C,14.083059310913086
CA,14.083059310913086
CB,14.542011260986328
CD,15.574838638305664
CD1,16.60759162902832
CD2,17.64032745361328
CE,18.018232345581055
CE1,17.086151123046875
CE2,16.154077529907227
CE3,15.221997261047363
CG,14.267048835754395
CG1,13.231912612915039
CG2,12.19677448272705
CH2,11.161638259887695
CZ,10.339595794677734
CZ2,11.222295761108398
CZ3,12.105001449584961
O,12.98770523071289
OH,13.870412826538086
OD1,14.544304847717285
OD2,15.2181978225708
OE1,15.892095565795898
OE2,16.56601333618164
OG,15.484672546386719
OG1,14.183958053588867
N,12.883245468139648
NE,11.58253288269043
NE1,10.960885047912598
NE2,10.533188819885254
ND1,10.105497360229492
ND2,9.677885055541992
NZ,9.399524688720703
NH1,9.195906639099121
NH2,8.992308616638184
SD,8.788673400878906
SG,8.69818115234375
UNKNOWN,8.69818115234375
