atom_type,importance_sum
C,7.700925827026367
CA,7.700925827026367
CB,8.055495262145996
CD,8.853232383728027
CD1,9.65095043182373
CD2,10.448698043823242
CE,10.963918685913086
CE1,10.914073944091797
CE2,10.864233016967773
CE3,10.814388275146484
CG,11.05204963684082
CG1,12.29598331451416
CG2,13.5399169921875
CH2,14.783852577209473
CZ,15.878021240234375
CZ2,15.774079322814941
CZ3,15.670137405395508
O,15.566201210021973
OH,15.462261199951172
OD1,14.858402252197266
OD2,14.254546165466309
OE1,13.650690078735352
OE2,13.046832084655762
OG,12.059444427490234
OG1,11.024113655090332
N,9.988786697387695
NE,8.953484535217285
NE1,8.416680335998535
NE2,8.02231502532959
ND1,7.627893447875977
ND2,7.233518600463867
NZ,7.1744771003723145
NH1,7.283078193664551
NH2,7.39168119430542
SD,7.500283718109131
SG,7.548562526702881
UNKNOWN,7.548562526702881
