atom_type,importance_sum
C,8.120016098022461
CA,8.120016098022461
CB,8.230758666992188
CD,8.479907989501953
CD1,8.729063987731934
CD2,8.978219032287598
CE,9.112460136413574
CE1,9.016923904418945
CE2,8.921353340148926
CE3,8.825783729553223
CG,9.036483764648438
CG1,10.319082260131836
CG2,11.601682662963867
CH2,12.88427734375
CZ,14.039276123046875
CZ2,14.173477172851562
CZ3,14.3076753616333
O,14.441876411437988
OH,14.57607364654541
OD1,14.427886962890625
OD2,14.279698371887207
OE1,14.13150405883789
OE2,13.983315467834473
OG,13.60810661315918
OG1,13.204517364501953
N,12.800932884216309
NE,12.39734172821045
NE1,11.993969917297363
NE2,11.59058666229248
ND1,11.187285423278809
ND2,10.78390121459961
NZ,10.440275192260742
NH1,10.126458168029785
NH2,9.812681198120117
SD,9.498872756958008
SG,9.35940170288086
UNKNOWN,9.35940170288086
