atom_type,importance_sum
C,11.051766395568848
CA,11.051766395568848
CB,11.53290843963623
CD,12.61534309387207
CD1,13.697779655456543
CD2,14.780220985412598
CE,15.494586944580078
CE1,15.47264575958252
CE2,15.450791358947754
CE3,15.428851127624512
CG,15.37678337097168
CG1,15.21894359588623
CG2,15.061100959777832
CH2,14.90325927734375
CZ,14.753034591674805
CZ2,14.66372299194336
CZ3,14.574414253234863
O,14.485107421875
OH,14.395801544189453
OD1,14.05463981628418
OD2,13.713479995727539
OE1,13.372321128845215
OE2,13.031161308288574
OG,12.748069763183594
OG1,12.472243309020996
N,12.196416854858398
NE,11.920585632324219
NE1,11.944609642028809
NE2,12.054275512695312
ND1,12.164030075073242
ND2,12.273698806762695
NZ,12.032018661499023
NH1,11.614540100097656
NH2,11.197059631347656
SD,10.779584884643555
SG,10.594062805175781
UNKNOWN,10.594062805175781
