atom_type,importance_sum
C,9.526226997375488
CA,9.526226997375488
CB,9.685519218444824
CD,10.0438871383667
CD1,10.402237892150879
CD2,10.760663032531738
CE,11.461407661437988
CE1,12.846861839294434
CE2,14.23239803314209
CE3,15.617931365966797
CG,16.495391845703125
CG1,15.594457626342773
CG2,14.693532943725586
CH2,13.792608261108398
CZ,13.051141738891602
CZ2,13.585382461547852
CZ3,14.119621276855469
O,14.653860092163086
OH,15.188105583190918
OD1,15.005664825439453
OD2,14.823222160339355
OE1,14.640775680541992
OE2,14.45833683013916
OG,14.301283836364746
OG1,14.147406578063965
N,13.993525505065918
NE,13.839643478393555
NE1,14.12115478515625
NE2,14.527069091796875
ND1,14.932981491088867
ND2,15.338897705078125
NZ,14.967854499816895
NH1,14.208380699157715
NH2,13.448902130126953
SD,12.689425468444824
SG,12.351907730102539
UNKNOWN,12.351907730102539
