atom_type,importance_sum
C,11.952216148376465
CA,11.952216148376465
CB,12.366323471069336
CD,13.29806137084961
CD1,14.229904174804688
CD2,15.161640167236328
CE,15.287817001342773
CE1,13.80286693572998
CE2,12.31792163848877
CE3,10.832971572875977
CG,9.724108695983887
CG1,9.931530952453613
CG2,10.13895034790039
CH2,10.3463716506958
CZ,10.532876014709473
CZ2,10.552027702331543
CZ3,10.57118034362793
O,10.59033489227295
OH,10.609485626220703
OD1,10.186612129211426
OD2,9.763738632202148
OE1,9.34085750579834
OE2,8.917967796325684
OG,8.711823463439941
OG1,8.532772064208984
N,8.353719711303711
NE,8.174667358398438
NE1,7.945615291595459
NE2,7.70225191116333
ND1,7.458888053894043
ND2,7.215523719787598
NZ,7.083750247955322
NH1,7.007849216461182
NH2,6.931944847106934
SD,6.85600471496582
SG,6.822262287139893
UNKNOWN,6.822262287139893
