atom_type,importance_sum
C,7.878128528594971
CA,7.878128528594971
CB,8.17709732055664
CD,8.84969425201416
CD1,9.522289276123047
CD2,10.1948881149292
CE,10.785137176513672
CE1,11.210643768310547
CE2,11.636076927185059
CE3,12.061508178710938
CG,12.678245544433594
CG1,13.964197158813477
CG2,15.250152587890625
CH2,16.53610610961914
CZ,17.686878204345703
CZ2,17.756187438964844
CZ3,17.825504302978516
O,17.894819259643555
OH,17.964134216308594
OD1,17.303632736206055
OD2,16.643129348754883
OE1,15.98262882232666
OE2,15.322127342224121
OG,15.819128036499023
OG1,16.460817337036133
N,17.10250473022461
NE,17.744199752807617
NE1,17.89590072631836
NE2,17.90760612487793
ND1,17.9193115234375
ND2,17.93117332458496
NZ,17.659282684326172
NH1,17.2455997467041
NH2,16.831974029541016
SD,16.418319702148438
SG,16.234485626220703
UNKNOWN,16.234485626220703
