atom_type,importance_sum
C,9.510639190673828
CA,9.510639190673828
CB,9.552700996398926
CD,9.647327423095703
CD1,9.741960525512695
CD2,9.836548805236816
CE,10.127339363098145
CE1,10.810525894165039
CE2,11.493629455566406
CE3,12.17681884765625
CG,12.683978080749512
CG1,12.575469017028809
CG2,12.466957092285156
CH2,12.35844898223877
CZ,12.358534812927246
CZ2,13.227376937866211
CZ3,14.096219062805176
O,14.965062141418457
OH,15.833905220031738
OD1,16.04254722595215
OD2,16.251205444335938
OE1,16.45985984802246
OE2,16.668521881103516
OG,15.708736419677734
OG1,14.602924346923828
N,13.497116088867188
NE,12.391312599182129
NE1,11.880189895629883
NE2,11.538890838623047
ND1,11.19759464263916
ND2,10.85629653930664
NZ,10.5499849319458
NH1,10.261204719543457
NH2,9.972359657287598
SD,9.683566093444824
SG,9.555213928222656
UNKNOWN,9.555213928222656
