atom_type,mean_importance
C,5.964197158813477
CA,5.964197158813477
CB,6.115401268005371
CD,6.4556121826171875
CD1,6.79581880569458
CD2,7.1360273361206055
CE,7.562554359436035
CE1,8.161718368530273
CE2,8.76087474822998
CE3,9.360039710998535
CG,9.791446685791016
CG1,9.635716438293457
CG2,9.479984283447266
CH2,9.324251174926758
CZ,9.208747863769531
CZ2,9.415066719055176
CZ3,9.62138557434082
O,9.827703475952148
OH,10.034021377563477
OD1,9.570694923400879
OD2,9.107366561889648
OE1,8.644036293029785
OE2,8.180707931518555
OG,8.069718360900879
OG1,8.00277328491211
N,7.93582820892334
NE,7.868882656097412
NE1,7.643731117248535
NE2,7.373371601104736
ND1,7.1030144691467285
ND2,6.832658290863037
NZ,6.979610919952393
NH1,7.335221767425537
NH2,7.690829277038574
SD,8.046440124511719
SG,8.204488754272461
UNKNOWN,8.204488754272461
