atom_type,importance_sum
C,4.11430549621582
CA,4.11430549621582
CB,4.281550884246826
CD,4.657839298248291
CD1,5.034125804901123
CD2,5.410466194152832
CE,5.714719772338867
CE1,5.875005722045898
CE2,6.03529167175293
CE3,6.195576190948486
CG,6.407027244567871
CG1,6.797496795654297
CG2,7.1879682540893555
CH2,7.578440189361572
CZ,7.925200939178467
CZ2,7.922304630279541
CZ3,7.919404983520508
O,7.916508674621582
OH,7.913610935211182
OD1,7.164397239685059
OD2,6.415184020996094
OE1,5.665971755981445
OE2,4.916759014129639
OG,4.7073588371276855
OG1,4.565437316894531
N,4.423516750335693
NE,4.281595230102539
NE1,4.622133255004883
NE2,5.100552558898926
ND1,5.578972339630127
ND2,6.057390213012695
NZ,6.207263469696045
NH1,6.192940711975098
NH2,6.1785664558410645
SD,6.164191246032715
SG,6.157796859741211
UNKNOWN,6.157796859741211
