atom_type,importance_sum
C,13.922565460205078
CA,13.922565460205078
CB,14.301264762878418
CD,15.153267860412598
CD1,16.00527000427246
CD2,16.857275009155273
CE,17.357032775878906
CE1,17.152189254760742
CE2,16.947402954101562
CE3,16.742557525634766
CG,16.783123016357422
CG1,17.68233871459961
CG2,18.581554412841797
CH2,19.480802536010742
CZ,20.27899169921875
CZ2,20.268709182739258
CZ3,20.258432388305664
O,20.248149871826172
OH,20.237873077392578
OD1,20.144149780273438
OD2,20.050432205200195
OE1,19.956714630126953
OE2,19.86299705505371
OG,19.111454010009766
OG1,18.277681350708008
N,17.443937301635742
NE,16.61019515991211
NE1,15.950324058532715
NE2,15.340121269226074
ND1,14.729998588562012
ND2,14.11979866027832
NZ,13.605077743530273
NH1,13.138059616088867
NH2,12.671124458312988
SD,12.2041015625
SG,11.996505737304688
UNKNOWN,11.996505737304688
