atom_type,importance_sum
C,9.436774253845215
CA,9.436774253845215
CB,10.214678764343262
CD,11.965091705322266
CD1,13.71550178527832
CD2,15.465818405151367
CE,16.679553985595703
CE1,16.819835662841797
CE2,16.960092544555664
CE3,17.100374221801758
CG,17.0072078704834
CG1,16.096603393554688
CG2,15.18603229522705
CH2,14.27546215057373
CZ,13.537271499633789
CZ2,14.178077697753906
CZ3,14.818885803222656
O,15.459693908691406
OH,16.100505828857422
OD1,16.11350440979004
OD2,16.126508712768555
OE1,16.139509201049805
OE2,16.152509689331055
OG,15.81248950958252
OG1,15.4283447265625
N,15.044198989868164
NE,14.660056114196777
NE1,14.114027976989746
NE2,13.521860122680664
ND1,12.929593086242676
ND2,12.337326049804688
NZ,12.069709777832031
NH1,11.964513778686523
NH2,11.859214782714844
SD,11.753928184509277
SG,11.707137107849121
UNKNOWN,11.707137107849121
