atom_type,importance_sum
C,7.830885887145996
CA,7.830885887145996
CB,8.567705154418945
CD,10.225434303283691
CD1,11.883240699768066
CD2,13.541053771972656
CE,14.960914611816406
CE1,15.904952049255371
CE2,16.848899841308594
CE3,17.792936325073242
CG,18.426448822021484
CG1,17.973291397094727
CG2,17.520145416259766
CH2,17.06700325012207
CZ,16.695100784301758
CZ2,16.97315216064453
CZ3,17.251201629638672
O,17.529253005981445
OH,17.807302474975586
OD1,18.011940002441406
OD2,18.216583251953125
OE1,18.42122459411621
OE2,18.625873565673828
OG,18.132488250732422
OG1,17.551868438720703
N,16.97125244140625
NE,16.390640258789062
NE1,16.188182830810547
NE2,16.093875885009766
ND1,15.999567985534668
ND2,15.905176162719727
NZ,15.544673919677734
NH1,15.051029205322266
NH2,14.55738639831543
SD,14.063745498657227
SG,13.844338417053223
UNKNOWN,13.844338417053223
