atom_type,importance_sum
C,2.546844959259033
CA,2.546844959259033
CB,2.976940631866455
CD,3.9446380138397217
CD1,4.912336826324463
CD2,5.8800530433654785
CE,6.716379165649414
CE1,7.289997577667236
CE2,7.863656044006348
CE3,8.437274932861328
CG,9.18464183807373
CG1,10.539983749389648
CG2,11.89532470703125
CH2,13.250664710998535
CZ,14.688865661621094
CZ2,16.78997230529785
CZ3,18.891077041625977
O,20.992183685302734
OH,23.093292236328125
OD1,21.537437438964844
OD2,19.981586456298828
OE1,18.425731658935547
OE2,16.86988067626953
OG,16.770212173461914
OG1,16.85256576538086
N,16.934917449951172
NE,17.017269134521484
NE1,16.73805046081543
NE2,16.355464935302734
ND1,15.972968101501465
ND2,15.590408325195312
NZ,14.98202896118164
NH1,14.26069164276123
NH2,13.539430618286133
SD,12.818171501159668
SG,12.497544288635254
UNKNOWN,12.497544288635254
