atom_type,importance_sum
C,17.317716598510742
CA,17.317716598510742
CB,18.281591415405273
CD,20.450340270996094
CD1,22.61924934387207
CD2,24.78799057006836
CE,25.294435501098633
CE1,22.476125717163086
CE2,19.657798767089844
CE3,16.83945655822754
CG,14.564579963684082
CG1,14.191720008850098
CG2,13.818861961364746
CH2,13.446002006530762
CZ,13.275174140930176
CZ2,14.720559120178223
CZ3,16.165931701660156
O,17.611244201660156
OH,19.056629180908203
OD1,18.54585838317871
OD2,18.03508758544922
OE1,17.524316787719727
OE2,17.013553619384766
OG,17.05245590209961
OG1,17.16006088256836
N,17.267671585083008
NE,17.37528419494629
NE1,15.929008483886719
NE2,14.038640975952148
ND1,12.148359298706055
ND2,10.2579984664917
NZ,9.4712495803833
NH1,9.23626708984375
NH2,9.00125503540039
SD,8.766265869140625
SG,8.661815643310547
UNKNOWN,8.661815643310547
