atom_type,importance_sum
C,1.1749244928359985
CA,1.1749244928359985
CB,1.327915072441101
CD,1.6721363067626953
CD1,2.0163683891296387
CD2,2.36059832572937
CE,2.8249218463897705
CE1,3.5294411182403564
CE2,4.233959674835205
CE3,4.938501834869385
CG,5.601756572723389
CG1,6.120739459991455
CG2,6.6397223472595215
CH2,7.158705234527588
CZ,7.783247470855713
CZ2,9.252311706542969
CZ3,10.721331596374512
O,12.190351486206055
OH,13.659372329711914
OD1,11.74304485321045
OD2,9.8267183303833
OE1,7.910348415374756
OE2,5.994022846221924
OG,5.554048538208008
OG1,5.298620223999023
N,5.043192386627197
NE,4.787764072418213
NE1,6.105508804321289
NE2,7.872676849365234
ND1,9.639798164367676
ND2,11.407059669494629
NZ,12.053569793701172
NH1,12.139936447143555
NH2,12.226205825805664
SD,12.312480926513672
SG,12.350855827331543
UNKNOWN,12.350855827331543
