atom_type,importance_sum
C,3.2679738998413086
CA,3.2679738998413086
CB,3.432220697402954
CD,3.8017477989196777
CD1,4.171291351318359
CD2,4.540847301483154
CE,4.827249050140381
CE1,4.947489261627197
CE2,5.067684173583984
CE3,5.187922954559326
CG,5.351744174957275
CG1,5.668192386627197
CG2,5.984640121459961
CH2,6.301087379455566
CZ,6.798637866973877
CZ2,8.744948387145996
CZ3,10.691305160522461
O,12.637665748596191
OH,14.584022521972656
OD1,12.878984451293945
OD2,11.173945426940918
OE1,9.468908309936523
OE2,7.763916969299316
OG,7.669055461883545
OG1,7.775468826293945
N,7.88187837600708
NE,7.9882893562316895
NE1,7.880767345428467
NE2,7.71209192276001
ND1,7.543458938598633
ND2,7.374824523925781
NZ,7.813007354736328
NH1,8.554590225219727
NH2,9.296229362487793
SD,10.037795066833496
SG,10.367351531982422
UNKNOWN,10.367351531982422
