atom_type,importance_sum
C,2.5649540424346924
CA,2.5649540424346924
CB,2.899625301361084
CD,3.652618885040283
CD1,4.405633926391602
CD2,5.158605575561523
CE,5.785121440887451
CE1,6.158637046813965
CE2,6.532105922698975
CE3,6.905622482299805
CG,7.202724456787109
CG1,7.232563495635986
CG2,7.26240348815918
CH2,7.292246341705322
CZ,7.463090896606445
CZ2,8.762043952941895
CZ3,10.060951232910156
O,11.359859466552734
OH,12.658761024475098
OD1,12.116190910339355
OD2,11.573617935180664
OE1,11.031045913696289
OE2,10.488471984863281
OG,10.135180473327637
OG1,9.8055419921875
N,9.475907325744629
NE,9.146275520324707
NE1,8.693988800048828
NE2,8.206596374511719
ND1,7.719249248504639
ND2,7.231902122497559
NZ,6.6777143478393555
NH1,6.090078353881836
NH2,5.502492904663086
SD,4.914859771728516
SG,4.653683662414551
UNKNOWN,4.653683662414551
