atom_type,importance_sum
C,10.103189468383789
CA,10.103189468383789
CB,10.198745727539062
CD,10.413857460021973
CD1,10.628972053527832
CD2,10.844000816345215
CE,11.070408821105957
CE1,11.319400787353516
CE2,11.568391799926758
CE3,11.817383766174316
CG,12.241077423095703
CG1,13.276097297668457
CG2,14.311120986938477
CH2,15.34614372253418
CZ,16.22218894958496
CZ2,15.826433181762695
CZ3,15.43067741394043
O,15.034918785095215
OH,14.639165878295898
OD1,14.625755310058594
OD2,14.612346649169922
OE1,14.59893798828125
OE2,14.585529327392578
OG,14.15811824798584
OG1,13.678960800170898
N,13.199798583984375
NE,12.72064208984375
NE1,12.414499282836914
NE2,12.157808303833008
ND1,11.90119743347168
ND2,11.64450740814209
NZ,11.826847076416016
NH1,12.228784561157227
NH2,12.630722045898438
SD,13.032577514648438
SG,13.211258888244629
UNKNOWN,13.211258888244629
