atom_type,importance_sum
C,6.3004536628723145
CA,6.3004536628723145
CB,6.51719331741333
CD,7.0048322677612305
CD1,7.492472171783447
CD2,7.980112075805664
CE,8.410534858703613
CE1,8.72644329071045
CE2,9.042367935180664
CE3,9.358247756958008
CG,10.245654106140137
CG1,13.133241653442383
CG2,16.020828247070312
CH2,18.908479690551758
CZ,21.38715171813965
CZ2,20.594491958618164
CZ3,19.80183982849121
O,19.009180068969727
OH,18.21652603149414
OD1,17.74986457824707
OD2,17.283193588256836
OE1,16.816509246826172
OE2,16.34983253479004
OG,15.233372688293457
OG1,14.035703659057617
N,12.838031768798828
NE,11.640364646911621
NE1,11.278056144714355
NE2,11.154450416564941
ND1,11.030841827392578
ND2,10.907161712646484
NZ,10.526693344116211
NH1,10.017749786376953
NH2,9.508828163146973
SD,8.999914169311523
SG,8.773712158203125
UNKNOWN,8.773712158203125
