atom_type,importance_sum
C,4.54918909072876
CA,4.54918909072876
CB,4.602116584777832
CD,4.721183776855469
CD1,4.8402509689331055
CD2,4.959317684173584
CE,5.275921821594238
CE1,5.987671375274658
CE2,6.699452877044678
CE3,7.411203861236572
CG,7.958486557006836
CG1,7.930200099945068
CG2,7.901917457580566
CH2,7.873631477355957
CZ,7.89000940322876
CZ2,8.26366138458252
CZ3,8.63731575012207
O,9.010969161987305
OH,9.384621620178223
OD1,9.847810745239258
OD2,10.311004638671875
OE1,10.774189949035645
OE2,11.237381935119629
OG,10.971195220947266
OG1,10.613834381103516
N,10.256475448608398
NE,9.899117469787598
NE1,9.370282173156738
NE2,8.792494773864746
ND1,8.214637756347656
ND2,7.636812686920166
NZ,7.479310989379883
NH1,7.5319366455078125
NH2,7.584525108337402
SD,7.637147426605225
SG,7.6605353355407715
UNKNOWN,7.6605353355407715
