atom_type,importance_sum
C,4.535620212554932
CA,4.535620212554932
CB,4.6821818351745605
CD,5.011981010437012
CD1,5.34174108505249
CD2,5.671542644500732
CE,6.296169281005859
CE1,7.510449409484863
CE2,8.724727630615234
CE3,9.939046859741211
CG,10.969308853149414
CG1,11.355406761169434
CG2,11.74150276184082
CH2,12.12759780883789
CZ,12.493779182434082
CZ2,12.700662612915039
CZ3,12.90754508972168
O,13.114428520202637
OH,13.32131576538086
OD1,12.989274024963379
OD2,12.65723705291748
OE1,12.325199127197266
OE2,11.993162155151367
OG,11.628080368041992
OG1,11.258874893188477
N,10.889666557312012
NE,10.520462036132812
NE1,10.087940216064453
NE2,9.637373924255371
ND1,9.186806678771973
ND2,8.736161231994629
NZ,8.475482940673828
NH1,8.309788703918457
NH2,8.144052505493164
SD,7.978320598602295
SG,7.904637813568115
UNKNOWN,7.904637813568115
