atom_type,importance_sum
C,3.757904291152954
CA,3.757904291152954
CB,4.057099342346191
CD,4.730326175689697
CD1,5.403553009033203
CD2,6.076780796051025
CE,6.72220516204834
CE1,7.3120269775390625
CE2,7.901891231536865
CE3,8.49171257019043
CG,8.913382530212402
CG1,8.746493339538574
CG2,8.579604148864746
CH2,8.412714004516602
CZ,8.316858291625977
CZ2,8.789278030395508
CZ3,9.261697769165039
O,9.734118461608887
OH,10.206538200378418
OD1,9.621578216552734
OD2,9.03661823272705
OE1,8.451658248901367
OE2,7.866700649261475
OG,7.689486026763916
OG1,7.563239574432373
N,7.43699312210083
NE,7.31074857711792
NE1,7.78855037689209
NE2,8.438968658447266
ND1,9.089346885681152
ND2,9.73980712890625
NZ,10.467253684997559
NH1,11.23332405090332
NH2,11.999306678771973
SD,12.765378952026367
SG,13.105805397033691
UNKNOWN,13.105805397033691
