atom_type,importance_sum
C,7.074966907501221
CA,7.074966907501221
CB,7.367280960083008
CD,8.024949073791504
CD1,8.6826171875
CD2,9.340285301208496
CE,10.027521133422852
CE1,10.773747444152832
CE2,11.52004623413086
CE3,12.266350746154785
CG,12.705010414123535
CG1,12.067139625549316
CG2,11.429272651672363
CH2,10.791403770446777
CZ,10.300435066223145
CZ2,10.984630584716797
CZ3,11.668828964233398
O,12.353026390075684
OH,13.037230491638184
OD1,13.244860649108887
OD2,13.45248794555664
OE1,13.660117149353027
OE2,13.86775016784668
OG,14.161150932312012
OG1,14.465269088745117
N,14.76939582824707
NE,15.07352066040039
NE1,14.437417984008789
NE2,13.532557487487793
ND1,12.627768516540527
ND2,11.722976684570312
NZ,11.359814643859863
NH1,11.267465591430664
NH2,11.175192832946777
SD,11.082844734191895
SG,11.041868209838867
UNKNOWN,11.041868209838867
