atom_type,importance_sum
C,6.3919782638549805
CA,6.3919782638549805
CB,6.4890947341918945
CD,6.707662582397461
CD1,6.926194667816162
CD2,7.144726276397705
CE,7.917172908782959
CE1,9.797340393066406
CE2,11.677578926086426
CE3,13.55774211883545
CG,15.004545211791992
CG1,14.934500694274902
CG2,14.864455223083496
CH2,14.794411659240723
CZ,14.708841323852539
CZ2,14.499089241027832
CZ3,14.289332389831543
O,14.07957649230957
OH,13.869816780090332
OD1,12.692949295043945
OD2,11.516079902648926
OE1,10.339210510253906
OE2,9.162336349487305
OG,9.075416564941406
OG1,9.124734878540039
N,9.174050331115723
NE,9.22337532043457
NE1,9.969182968139648
NE2,10.913948059082031
ND1,11.858713150024414
ND2,12.803548812866211
NZ,13.698161125183105
NH1,14.567659378051758
NH2,15.437232971191406
SD,16.306804656982422
SG,16.693252563476562
UNKNOWN,16.693252563476562
