atom_type,importance_sum
C,3.7418320178985596
CA,3.7418320178985596
CB,3.9436981678009033
CD,4.3979268074035645
CD1,4.852133274078369
CD2,5.306337356567383
CE,5.797190189361572
CE1,6.361201286315918
CE2,6.925258636474609
CE3,7.489315509796143
CG,8.301183700561523
CG1,9.980527877807617
CG2,11.659869194030762
CH2,13.339214324951172
CZ,14.792888641357422
CZ2,14.44122314453125
CZ3,14.089559555053711
O,13.737895965576172
OH,13.386232376098633
OD1,11.732141494750977
OD2,10.078054428100586
OE1,8.42396354675293
OE2,6.769871711730957
OG,5.83272123336792
OG1,4.9851861000061035
N,4.137655258178711
NE,3.2901463508605957
NE1,2.7513620853424072
NE2,2.300814151763916
ND1,1.8502558469772339
ND2,1.3996849060058594
NZ,1.5725749731063843
NH1,2.0571892261505127
NH2,2.5417943000793457
SD,3.026404619216919
SG,3.241786241531372
UNKNOWN,3.241786241531372
