atom_type,importance_sum
C,5.0720953941345215
CA,5.0720953941345215
CB,5.433718681335449
CD,6.24737548828125
CD1,7.061031818389893
CD2,7.874730587005615
CE,8.567700386047363
CE1,9.019131660461426
CE2,9.470645904541016
CE3,9.92215347290039
CG,10.327823638916016
CG1,10.57323169708252
CG2,10.818639755249023
CH2,11.064050674438477
CZ,11.346778869628906
CZ2,11.928089141845703
CZ3,12.509395599365234
O,13.09070110321045
OH,13.67201042175293
OD1,12.995316505432129
OD2,12.318629264831543
OE1,11.641935348510742
OE2,10.965246200561523
OG,10.478473663330078
OG1,10.015442848205566
N,9.552409172058105
NE,9.089381217956543
NE1,8.78312873840332
NE2,8.521761894226074
ND1,8.260308265686035
ND2,7.998893737792969
NZ,7.6120686531066895
NH1,7.16253662109375
NH2,6.713005065917969
SD,6.263515472412109
SG,6.063690662384033
UNKNOWN,6.063690662384033
