atom_type,importance_sum
C,5.5537638664245605
CA,5.5537638664245605
CB,5.661196708679199
CD,5.902892112731934
CD1,6.1446213722229
CD2,6.38631534576416
CE,6.895949840545654
CE1,7.941465377807617
CE2,8.986980438232422
CE3,10.032456398010254
CG,10.989425659179688
CG1,11.636433601379395
CG2,12.28344440460205
CH2,12.930445671081543
CZ,13.541340827941895
CZ2,13.863340377807617
CZ3,14.185338020324707
O,14.50733470916748
OH,14.829331398010254
OD1,12.988369941711426
OD2,11.147407531738281
OE1,9.306441307067871
OE2,7.46551513671875
OG,7.301151275634766
OG1,7.3463592529296875
N,7.391570568084717
NE,7.436779022216797
NE1,7.383604049682617
NE2,7.3022871017456055
ND1,7.221005439758301
ND2,7.139724254608154
NZ,7.451140880584717
NH1,7.958942890167236
NH2,8.466719627380371
SD,8.97447395324707
SG,9.2001953125
UNKNOWN,9.2001953125
