atom_type,importance_sum
C,6.181392192840576
CA,6.181392192840576
CB,6.289401531219482
CD,6.532384395599365
CD1,6.775327205657959
CD2,7.018309593200684
CE,7.4849090576171875
CE1,8.398743629455566
CE2,9.312577247619629
CE3,10.226410865783691
CG,11.163627624511719
CG1,12.182473182678223
CG2,13.201319694519043
CH2,14.220162391662598
CZ,15.095351219177246
CZ2,14.82131576538086
CZ3,14.54727840423584
O,14.273241996765137
OH,13.999202728271484
OD1,13.146753311157227
OD2,12.294301986694336
OE1,11.441850662231445
OE2,10.589401245117188
OG,9.993703842163086
OG1,9.430100440979004
N,8.866499900817871
NE,8.302897453308105
NE1,8.165846824645996
NE2,8.150660514831543
ND1,8.135527610778809
ND2,8.120354652404785
NZ,8.213435173034668
NH1,8.360627174377441
NH2,8.507824897766113
SD,8.655047416687012
SG,8.720453262329102
UNKNOWN,8.720453262329102
