atom_type,importance_sum
C,9.107306480407715
CA,9.107306480407715
CB,9.348990440368652
CD,9.892724990844727
CD1,10.436460494995117
CD2,10.980191230773926
CE,11.69911003112793
CE1,12.76846981048584
CE2,13.837754249572754
CE3,14.907111167907715
CG,15.462663650512695
CG1,14.219914436340332
CG2,12.977170944213867
CH2,11.734428405761719
CZ,10.688106536865234
CZ2,11.213136672973633
CZ3,11.738166809082031
O,12.26319694519043
OH,12.788227081298828
OD1,12.242856979370117
OD2,11.697488784790039
OE1,11.152116775512695
OE2,10.60675048828125
OG,10.837116241455078
OG1,11.164448738098145
N,11.49178409576416
NE,11.819120407104492
NE1,11.52322006225586
NE2,11.049338340759277
ND1,10.575384140014648
ND2,10.101430892944336
NZ,9.973551750183105
NH1,10.018712043762207
NH2,10.06386947631836
SD,10.10903263092041
SG,10.129093170166016
UNKNOWN,10.129093170166016
