atom_type,importance_sum
C,4.9181084632873535
CA,4.9181084632873535
CB,5.242162704467773
CD,5.971358776092529
CD1,6.700553894042969
CD2,7.429749965667725
CE,8.111868858337402
CE1,8.699828147888184
CE2,9.287890434265137
CE3,9.875858306884766
CG,10.469903945922852
CG1,11.084967613220215
CG2,11.700027465820312
CH2,12.315084457397461
CZ,12.826940536499023
CZ2,12.513176918029785
CZ3,12.199413299560547
O,11.885648727416992
OH,11.57188892364502
OD1,10.651333808898926
OD2,9.730779647827148
OE1,8.810227394104004
OE2,7.88967227935791
OG,6.94505500793457
OG1,5.997432708740234
N,5.049811363220215
NE,4.102198600769043
NE1,3.716937303543091
NE2,3.4923534393310547
ND1,3.2677712440490723
ND2,3.0431630611419678
NZ,3.476524829864502
NH1,4.238872528076172
NH2,5.001194953918457
SD,5.7635674476623535
SG,6.102373123168945
UNKNOWN,6.102373123168945
