atom_type,importance_sum
C,8.145329475402832
CA,8.145329475402832
CB,8.480021476745605
CD,9.233057022094727
CD1,9.986106872558594
CD2,10.739130020141602
CE,11.256978034973145
CE1,11.30447006225586
CE2,11.351959228515625
CE3,11.399449348449707
CG,11.528402328491211
CG1,11.94241714477539
CG2,12.356431007385254
CH2,12.77044677734375
CZ,13.218128204345703
CZ2,13.935160636901855
CZ3,14.652193069458008
O,15.369226455688477
OH,16.086257934570312
OD1,16.230005264282227
OD2,16.373743057250977
OE1,16.517484664916992
OE2,16.661224365234375
OG,16.50782012939453
OG1,16.31727409362793
N,16.126728057861328
NE,15.936174392700195
NE1,16.254074096679688
NE2,16.717287063598633
ND1,17.180438995361328
ND2,17.643579483032227
NZ,17.6106014251709
NH1,17.329479217529297
NH2,17.048337936401367
SD,16.767223358154297
SG,16.642316818237305
UNKNOWN,16.642316818237305
