atom_type,importance_sum
C,12.333106994628906
CA,12.333106994628906
CB,12.386347770690918
CD,12.506071090698242
CD1,12.62572193145752
CD2,12.745447158813477
CE,12.923434257507324
CE1,13.217884063720703
CE2,13.512335777282715
CE3,13.80685806274414
CG,14.170973777770996
CG1,14.778739929199219
CG2,15.386504173278809
CH2,15.994268417358398
CZ,16.59737205505371
CZ2,17.16327667236328
CZ3,17.72918128967285
O,18.295089721679688
OH,18.86100959777832
OD1,19.513887405395508
OD2,20.166767120361328
OE1,20.819652557373047
OE2,21.4725284576416
OG,21.532791137695312
OG1,21.51898765563965
N,21.505168914794922
NE,21.491357803344727
NE1,21.14789581298828
NE2,20.710203170776367
ND1,20.272512435913086
ND2,19.834819793701172
NZ,19.23971939086914
NH1,18.56608772277832
NH2,17.892412185668945
SD,17.2187557220459
SG,16.919368743896484
UNKNOWN,16.919368743896484
