atom_type,importance_sum
C,7.660948276519775
CA,7.660948276519775
CB,7.805196762084961
CD,8.129781723022461
CD1,8.45436954498291
CD2,8.778953552246094
CE,9.065655708312988
CE1,9.2766695022583
CE2,9.48766803741455
CE3,9.698640823364258
CG,10.354804992675781
CG1,12.569077491760254
CG2,14.783343315124512
CH2,16.997617721557617
CZ,19.109607696533203
CZ2,20.40336799621582
CZ3,21.69713020324707
O,22.99089241027832
OH,24.284648895263672
OD1,23.952959060668945
OD2,23.62126350402832
OE1,23.289567947387695
OE2,22.957874298095703
OG,21.92060089111328
OG1,20.79513168334961
N,19.66965675354004
NE,18.544191360473633
NE1,18.59309196472168
NE2,18.977514266967773
ND1,19.36194610595703
ND2,19.74623680114746
NZ,19.739368438720703
NH1,19.53665542602539
NH2,19.334074020385742
SD,19.131488800048828
SG,19.0413761138916
UNKNOWN,19.0413761138916
