atom_type,importance_sum
C,6.684383869171143
CA,6.684383869171143
CB,7.336289405822754
CD,8.803093910217285
CD1,10.269822120666504
CD2,11.736605644226074
CE,12.823709487915039
CE1,13.151347160339355
CE2,13.479082107543945
CE3,13.806722640991211
CG,14.100379943847656
CG1,14.275073051452637
CG2,14.449766159057617
CH2,14.624455451965332
CZ,14.849897384643555
CZ2,15.48134994506836
CZ3,16.112804412841797
O,16.744258880615234
OH,17.37570571899414
OD1,17.00734519958496
OD2,16.638986587524414
OE1,16.27062225341797
OE2,15.902260780334473
OG,14.985058784484863
OG1,13.999250411987305
N,13.013442039489746
NE,12.02763843536377
NE1,11.192124366760254
NE2,10.399496078491211
ND1,9.606971740722656
ND2,8.814375877380371
NZ,8.398660659790039
NH1,8.171340942382812
NH2,7.944065570831299
SD,7.716742038726807
SG,7.6157379150390625
UNKNOWN,7.6157379150390625
