atom_type,importance_sum
C,8.136058807373047
CA,8.136058807373047
CB,8.58714771270752
CD,9.602100372314453
CD1,10.617053985595703
CD2,11.632024765014648
CE,12.07948112487793
CE1,11.392078399658203
CE2,10.70458698272705
CE3,10.017186164855957
CG,9.69409465789795
CG1,10.646392822265625
CG2,11.598703384399414
CH2,12.551015853881836
CZ,13.499977111816406
CZ2,14.422183990478516
CZ3,15.344396591186523
O,16.2666015625
OH,17.188812255859375
OD1,16.859050750732422
OD2,16.529287338256836
OE1,16.19952392578125
OE2,15.86976146697998
OG,14.889396667480469
OG1,13.82771110534668
N,12.766016960144043
NE,11.704329490661621
NE1,11.511547088623047
NE2,11.56694507598877
ND1,11.622434616088867
ND2,11.677831649780273
NZ,11.891334533691406
NH1,12.183845520019531
NH2,12.476451873779297
SD,12.768963813781738
SG,12.899020195007324
UNKNOWN,12.899020195007324
