atom_type,importance_sum
C,12.646885871887207
CA,12.646885871887207
CB,12.888258934020996
CD,13.431314468383789
CD1,13.974413871765137
CD2,14.51746940612793
CE,15.365870475769043
CE1,16.824932098388672
CE2,18.283966064453125
CE3,19.7430477142334
CG,20.55687141418457
CG1,19.112390518188477
CG2,17.667903900146484
CH2,16.223421096801758
CZ,15.012228012084961
CZ2,15.667336463928223
CZ3,16.32244873046875
O,16.977561950683594
OH,17.632659912109375
OD1,17.289928436279297
OD2,16.94719696044922
OE1,16.604461669921875
OE2,16.2617244720459
OG,17.520872116088867
OG1,18.980266571044922
N,20.439651489257812
NE,21.899038314819336
NE1,22.018157958984375
NE2,21.754440307617188
ND1,21.490652084350586
ND2,21.226848602294922
NZ,20.975427627563477
NH1,20.73023223876953
NH2,20.48503875732422
SD,20.23990821838379
SG,20.130924224853516
UNKNOWN,20.130924224853516
