atom_type,importance_sum
C,7.669251918792725
CA,7.669251918792725
CB,8.450928688049316
CD,10.20979118347168
CD1,11.968612670898438
CD2,13.727439880371094
CE,15.195884704589844
CE1,16.083581924438477
CE2,16.971187591552734
CE3,17.858728408813477
CG,18.77056312561035
CG1,19.767255783081055
CG2,20.763946533203125
CH2,21.760639190673828
CZ,22.50633430480957
CZ2,21.24398422241211
CZ3,19.981637954711914
O,18.719289779663086
OH,17.45697593688965
OD1,16.260448455810547
OD2,15.063880920410156
OE1,13.867304801940918
OE2,12.67072868347168
OG,12.278610229492188
OG1,11.987051963806152
N,11.6954927444458
NE,11.403935432434082
NE1,11.551549911499023
NE2,11.824623107910156
ND1,12.097782135009766
ND2,12.37085247039795
NZ,12.285795211791992
NH1,12.021764755249023
NH2,11.757643699645996
SD,11.493532180786133
SG,11.376185417175293
UNKNOWN,11.376185417175293
