atom_type,importance_sum
C,7.624383926391602
CA,7.624383926391602
CB,8.097855567932129
CD,9.163068771362305
CD1,10.22831916809082
CD2,11.293497085571289
CE,12.074671745300293
CE1,12.28785514831543
CE2,12.500955581665039
CE3,12.7140474319458
CG,13.108419418334961
CG1,14.137118339538574
CG2,15.165816307067871
CH2,16.194517135620117
CZ,17.133750915527344
CZ2,17.357276916503906
CZ3,17.580799102783203
O,17.804330825805664
OH,18.027854919433594
OD1,17.442550659179688
OD2,16.857242584228516
OE1,16.27193260192871
OE2,15.686619758605957
OG,15.425681114196777
OG1,15.205282211303711
N,14.98488712310791
NE,14.764491081237793
NE1,14.840091705322266
NE2,15.000286102294922
ND1,15.160576820373535
ND2,15.320775985717773
NZ,15.496488571166992
NH1,15.679994583129883
NH2,15.863418579101562
SD,16.04693031311035
SG,16.128480911254883
UNKNOWN,16.128480911254883
