atom_type,importance_sum
C,9.711874961853027
CA,9.711874961853027
CB,10.03730583190918
CD,10.769460678100586
CD1,11.501697540283203
CD2,12.233853340148926
CE,13.0327730178833
CE1,13.965228080749512
CE2,14.897599220275879
CE3,15.829974174499512
CG,16.59083366394043
CG1,16.751190185546875
CG2,16.911558151245117
CH2,17.071918487548828
CZ,17.303146362304688
CZ2,18.10129165649414
CZ3,18.899438858032227
O,19.69758415222168
OH,20.49573516845703
OD1,18.957134246826172
OD2,17.418537139892578
OE1,15.879937171936035
OE2,14.341339111328125
OG,14.617681503295898
OG1,15.120888710021973
N,15.624100685119629
NE,16.127309799194336
NE1,16.76498794555664
NE2,17.440977096557617
ND1,18.117036819458008
ND2,18.793119430541992
NZ,18.809720993041992
NH1,18.49664306640625
NH2,18.183555603027344
SD,17.870525360107422
SG,17.73139762878418
UNKNOWN,17.73139762878418
