atom_type,importance_sum
C,9.44631576538086
CA,9.44631576538086
CB,9.747150421142578
CD,10.424029350280762
CD1,11.100907325744629
CD2,11.777787208557129
CE,12.247835159301758
CE1,12.304136276245117
CE2,12.360515594482422
CE3,12.416900634765625
CG,12.591226577758789
CG1,13.178201675415039
CG2,13.765175819396973
CH2,14.352152824401855
CZ,14.98841667175293
CZ2,16.01900291442871
CZ3,17.049556732177734
O,18.080108642578125
OH,19.110687255859375
OD1,18.9659423828125
OD2,18.821197509765625
OE1,18.67645263671875
OE2,18.53171157836914
OG,17.97039222717285
OG1,17.357013702392578
N,16.743629455566406
NE,16.130250930786133
NE1,15.311042785644531
NE2,14.433127403259277
ND1,13.555211067199707
ND2,12.677292823791504
NZ,12.088955879211426
NH1,11.645410537719727
NH2,11.20193862915039
SD,10.758399963378906
SG,10.56129264831543
UNKNOWN,10.56129264831543
