atom_type,importance_sum
C,5.4570770263671875
CA,5.4570770263671875
CB,6.124623775482178
CD,7.626646995544434
CD1,9.128697395324707
CD2,10.630650520324707
CE,11.697829246520996
CE1,11.89522933959961
CE2,12.092541694641113
CE3,12.289941787719727
CG,12.804098129272461
CG1,14.4269380569458
CG2,16.049781799316406
CH2,17.672622680664062
CZ,19.103116989135742
CZ2,18.994840621948242
CZ3,18.886573791503906
O,18.778297424316406
OH,18.670026779174805
OD1,16.821950912475586
OD2,14.973877906799316
OE1,13.125801086425781
OE2,11.277725219726562
OG,10.634876251220703
OG1,10.142678260803223
N,9.650479316711426
NE,9.158273696899414
NE1,8.5977201461792
NE2,8.017624855041504
ND1,7.437590599060059
ND2,6.857511520385742
NZ,7.076194763183594
NH1,7.694309234619141
NH2,8.312376022338867
SD,8.930441856384277
SG,9.205163955688477
UNKNOWN,9.205163955688477
