atom_type,importance_sum
C,4.214448928833008
CA,4.214448928833008
CB,4.932884216308594
CD,6.549317836761475
CD1,8.165790557861328
CD2,9.782258987426758
CE,11.306676864624023
CE1,12.646890640258789
CE2,13.98719310760498
CE3,15.32740306854248
CG,16.67570686340332
CG1,18.052026748657227
CG2,19.428298950195312
CH2,20.80457305908203
CZ,21.83116912841797
CZ2,20.060396194458008
CZ3,18.28963851928711
O,16.518802642822266
OH,14.748011589050293
OD1,12.817605972290039
OD2,10.887201309204102
OE1,8.956819534301758
OE2,7.026447296142578
OG,6.896013259887695
OG1,6.9905805587768555
N,7.085147380828857
NE,7.179713726043701
NE1,6.9758710861206055
NE2,6.686839580535889
ND1,6.39776086807251
ND2,6.108729839324951
NZ,6.552363872528076
NH1,7.3623762130737305
NH2,8.172388076782227
SD,8.982409477233887
SG,9.34241771697998
UNKNOWN,9.34241771697998
