atom_type,importance_sum
C,8.439180374145508
CA,8.439180374145508
CB,9.410883903503418
CD,11.597214698791504
CD1,13.783541679382324
CD2,15.969786643981934
CE,16.90262794494629
CE1,15.3285493850708
CE2,13.754348754882812
CE3,12.180231094360352
CG,11.039925575256348
CG1,11.417895317077637
CG2,11.795863151550293
CH2,12.173832893371582
CZ,12.788948059082031
CZ2,15.301203727722168
CZ3,17.81337547302246
O,20.32563018798828
OH,22.837886810302734
OD1,21.23878288269043
OD2,19.63967514038086
OE1,18.040571212768555
OE2,16.441518783569336
OG,16.481781005859375
OG1,16.726951599121094
N,16.97212028503418
NE,17.2172908782959
NE1,16.412784576416016
NE2,15.308348655700684
ND1,14.203837394714355
ND2,13.099404335021973
NZ,13.413268089294434
NH1,14.436184883117676
NH2,15.459189414978027
SD,16.48219108581543
SG,16.93680191040039
UNKNOWN,16.93680191040039
