atom_type,importance_sum
C,4.566943645477295
CA,4.566943645477295
CB,5.242340087890625
CD,6.761984825134277
CD1,8.28166389465332
CD2,9.801310539245605
CE,10.790273666381836
CE1,10.717961311340332
CE2,10.645564079284668
CE3,10.57325267791748
CG,10.683433532714844
CG1,11.432657241821289
CG2,12.181883811950684
CH2,12.931107521057129
CZ,13.773141860961914
CZ2,15.357654571533203
CZ3,16.942163467407227
O,18.526676177978516
OH,20.111188888549805
OD1,18.700153350830078
OD2,17.289113998413086
OE1,15.878077507019043
OE2,14.46703815460205
OG,14.757512092590332
OG1,15.260684967041016
N,15.7638521194458
NE,16.26702308654785
NE1,15.96473503112793
NE2,15.432432174682617
ND1,14.900047302246094
ND2,14.367658615112305
NZ,14.6119966506958
NH1,15.244649887084961
NH2,15.877384185791016
SD,16.510034561157227
SG,16.791213989257812
UNKNOWN,16.791213989257812
