atom_type,importance_sum
C,6.385223388671875
CA,6.385223388671875
CB,7.380486011505127
CD,9.619780540466309
CD1,11.859027862548828
CD2,14.09827709197998
CE,15.28781509399414
CE1,14.377739906311035
CE2,13.46766471862793
CE3,12.557591438293457
CG,11.880626678466797
CG1,12.019796371459961
CG2,12.158968925476074
CH2,12.298141479492188
CZ,12.577683448791504
CZ2,13.980226516723633
CZ3,15.382761001586914
O,16.78529930114746
OH,18.18783950805664
OD1,17.047470092773438
OD2,15.907111167907715
OE1,14.766743659973145
OE2,13.626378059387207
OG,13.9247465133667
OG1,14.402966499328613
N,14.881182670593262
NE,15.359397888183594
NE1,15.065671920776367
NE2,14.55150032043457
ND1,14.037239074707031
ND2,13.522971153259277
NZ,13.687222480773926
NH1,14.190730094909668
NH2,14.69424057006836
SD,15.197749137878418
SG,15.42158317565918
UNKNOWN,15.42158317565918
