atom_type,importance_sum
C,10.415107727050781
CA,10.415107727050781
CB,10.557835578918457
CD,10.878933906555176
CD1,11.200030326843262
CD2,11.521127700805664
CE,11.812844276428223
CE1,12.045743942260742
CE2,12.278594970703125
CE3,12.51149845123291
CG,12.685497283935547
CG1,12.65329360961914
CG2,12.621089935302734
CH2,12.588891983032227
CZ,12.723132133483887
CZ2,14.18889331817627
CZ3,15.65465259552002
O,17.12035369873047
OH,18.58612060546875
OD1,18.418594360351562
OD2,18.251081466674805
OE1,18.08355712890625
OE2,17.916034698486328
OG,18.73275375366211
OG1,19.672502517700195
N,20.612245559692383
NE,21.5519962310791
NE1,21.477628707885742
NE2,21.11349868774414
ND1,20.749361038208008
ND2,20.385120391845703
NZ,20.950443267822266
NH1,21.980440139770508
NH2,23.010427474975586
SD,24.040424346923828
SG,24.498132705688477
UNKNOWN,24.498132705688477
