atom_type,importance_sum
C,5.990417003631592
CA,5.990417003631592
CB,6.960085391998291
CD,9.141860008239746
CD1,11.323676109313965
CD2,13.50540828704834
CE,14.67686653137207
CE1,13.827617645263672
CE2,12.978363990783691
CE3,12.12911319732666
CG,11.534184455871582
CG1,11.8297700881958
CG2,12.125353813171387
CH2,12.420939445495605
CZ,12.84178638458252
CZ2,14.264747619628906
CZ3,15.687701225280762
O,17.11072540283203
OH,18.533695220947266
OD1,17.292097091674805
OD2,16.050418853759766
OE1,14.808826446533203
OE2,13.567231178283691
OG,13.849513053894043
OG1,14.322283744812012
N,14.79505729675293
NE,15.267827987670898
NE1,14.93368148803711
NE2,14.368902206420898
ND1,13.804220199584961
ND2,13.239447593688965
NZ,13.462606430053711
NH1,14.07982349395752
NH2,14.69694995880127
SD,15.314163208007812
SG,15.58841323852539
UNKNOWN,15.58841323852539
