atom_type,importance_sum
C,3.7918848991394043
CA,3.7918848991394043
CB,4.423794269561768
CD,5.845606803894043
CD1,7.267419815063477
CD2,8.68921947479248
CE,9.969077110290527
CE1,10.965113639831543
CE2,11.961152076721191
CE3,12.95718765258789
CG,13.953946113586426
CG1,14.953364372253418
CG2,15.952776908874512
CH2,16.952133178710938
CZ,17.897300720214844
CZ2,18.408771514892578
CZ3,18.92024040222168
O,19.431713104248047
OH,19.94318389892578
OD1,18.369464874267578
OD2,16.79579734802246
OE1,15.222129821777344
OE2,13.648418426513672
OG,12.730798721313477
OG1,11.89518928527832
N,11.05958080291748
NE,10.223976135253906
NE1,9.388528823852539
NE2,8.553069114685059
ND1,7.717652797698975
ND2,6.882235050201416
NZ,7.082331657409668
NH1,7.800163745880127
NH2,8.518035888671875
SD,9.235857963562012
SG,9.55489730834961
UNKNOWN,9.55489730834961
