atom_type,importance_sum
C,3.9074182510375977
CA,3.9074182510375977
CB,4.568878173828125
CD,6.057085037231445
CD1,7.545339107513428
CD2,9.033568382263184
CE,10.215730667114258
CE1,10.78576946258545
CE2,11.355718612670898
CE3,11.925662994384766
CG,12.657832145690918
CG1,13.95762825012207
CG2,15.257428169250488
CH2,16.55722427368164
CZ,17.746440887451172
CZ2,18.051048278808594
CZ3,18.35565757751465
O,18.66026496887207
OH,18.964876174926758
OD1,17.58963966369629
OD2,16.21440315246582
OE1,14.839164733886719
OE2,13.463929176330566
OG,13.146207809448242
OG1,12.960674285888672
N,12.775144577026367
NE,12.589612007141113
NE1,11.813520431518555
NE2,10.868794441223145
ND1,9.923972129821777
ND2,8.97924518585205
NZ,9.448875427246094
NH1,10.6256685256958
NH2,11.80245590209961
SD,12.979328155517578
SG,13.502290725708008
UNKNOWN,13.502290725708008
