atom_type,importance_sum
C,6.575449466705322
CA,6.575449466705322
CB,7.456070899963379
CD,9.437390327453613
CD1,11.41879653930664
CD2,13.40011978149414
CE,14.550942420959473
CE1,14.0405912399292
CE2,13.530153274536133
CE3,13.01980209350586
CG,12.935460090637207
CG1,14.34210205078125
CG2,15.74874496459961
CH2,17.155296325683594
CZ,18.410423278808594
CZ2,18.453481674194336
CZ3,18.49654197692871
O,18.53959846496582
OH,18.582660675048828
OD1,17.092437744140625
OD2,15.602288246154785
OE1,14.112055778503418
OE2,12.621829986572266
OG,11.941813468933105
OG1,11.363069534301758
N,10.784330368041992
NE,10.205587387084961
NE1,9.96135425567627
NE2,9.812705993652344
ND1,9.66405963897705
ND2,9.515413284301758
NZ,9.70495319366455
NH1,10.0635404586792
NH2,10.422134399414062
SD,10.780723571777344
SG,10.940117835998535
UNKNOWN,10.940117835998535
