atom_type,importance_sum
C,6.851615905761719
CA,6.851615905761719
CB,7.634848594665527
CD,9.397002220153809
CD1,11.159258842468262
CD2,12.921414375305176
CE,13.822750091552734
CE1,13.002349853515625
CE2,12.18194580078125
CE3,11.361542701721191
CG,10.692977905273438
CG1,10.555484771728516
CG2,10.417988777160645
CH2,10.280495643615723
CZ,10.258505821228027
CZ2,11.160536766052246
CZ3,12.062570571899414
O,12.964605331420898
OH,13.866639137268066
OD1,13.4530611038208
OD2,13.039484977722168
OE1,12.625907897949219
OE2,12.212329864501953
OG,11.607288360595703
OG1,10.97830867767334
N,10.34933090209961
NE,9.720353126525879
NE1,8.558176040649414
NE2,7.2437028884887695
ND1,5.929229259490967
ND2,4.614710807800293
NZ,4.50941276550293
NH1,5.008716106414795
NH2,5.508018493652344
SD,6.007308483123779
SG,6.229221343994141
UNKNOWN,6.229221343994141
