atom_type,importance_sum
C,4.849024772644043
CA,4.849024772644043
CB,5.608421325683594
CD,7.317071914672852
CD1,9.025747299194336
CD2,10.734417915344238
CE,11.754609107971191
CE1,11.3978853225708
CE2,11.041254997253418
CE3,10.684535026550293
CG,10.574313163757324
CG1,11.326532363891602
CG2,12.078754425048828
CH2,12.830974578857422
CZ,13.662096977233887
CZ2,15.124445915222168
CZ3,16.586759567260742
O,18.04905891418457
OH,19.511402130126953
OD1,18.085704803466797
OD2,16.660045623779297
OE1,15.234378814697266
OE2,13.808671951293945
OG,14.012694358825684
OG1,14.420430183410645
N,14.828165054321289
NE,15.23590087890625
NE1,14.920639991760254
NE2,14.398868560791016
ND1,13.877193450927734
ND2,13.355426788330078
NZ,13.847380638122559
NH1,14.846234321594238
NH2,15.845088005065918
SD,16.84403419494629
SG,17.287939071655273
UNKNOWN,17.287939071655273
