atom_type,importance_sum
C,8.494678497314453
CA,8.494678497314453
CB,9.626912117004395
CD,12.174348831176758
CD1,14.72187614440918
CD2,17.269315719604492
CE,18.68635368347168
CE1,17.842233657836914
CE2,16.99812126159668
CE3,16.154094696044922
CG,15.42477798461914
CG1,15.097431182861328
CG2,14.7700834274292
CH2,14.442736625671387
CZ,14.27553939819336
CZ2,15.389538764953613
CZ3,16.503557205200195
O,17.61762237548828
OH,18.73162269592285
OD1,16.895137786865234
OD2,15.058637619018555
OE1,13.22219467163086
OE2,11.385749816894531
OG,12.124188423156738
OG1,13.184491157531738
N,14.24479866027832
NE,15.305103302001953
NE1,14.938562393188477
NE2,14.16437816619873
ND1,13.390104293823242
ND2,12.615923881530762
NZ,12.286351203918457
NH1,12.179174423217773
NH2,12.072084426879883
SD,11.964900016784668
SG,11.917223930358887
UNKNOWN,11.917223930358887
