atom_type,importance_sum
C,3.3166513442993164
CA,3.3166513442993164
CB,3.7950947284698486
CD,4.87155818939209
CD1,5.948038101196289
CD2,7.024523735046387
CE,7.655084609985352
CE1,7.39380407333374
CE2,7.13252067565918
CE3,6.871242046356201
CG,6.759128093719482
CG1,7.169100284576416
CG2,7.57907247543335
CH2,7.989046096801758
CZ,8.580214500427246
CZ2,10.620601654052734
CZ3,12.660990715026855
O,14.70137882232666
OH,16.741687774658203
OD1,15.629365921020508
OD2,14.516965866088867
OE1,13.404568672180176
OE2,12.292170524597168
OG,12.384710311889648
OG1,12.627866744995117
N,12.871023178100586
NE,13.114179611206055
NE1,12.649873733520508
NE2,11.983542442321777
ND1,11.317209243774414
ND2,10.650873184204102
NZ,10.527918815612793
NH1,10.67676830291748
NH2,10.825536727905273
SD,10.974387168884277
SG,11.040492057800293
UNKNOWN,11.040492057800293
