atom_type,importance_sum
C,2.346587896347046
CA,2.346587896347046
CB,2.8159632682800293
CD,3.8720993995666504
CD1,4.928187847137451
CD2,5.98430061340332
CE,6.80218505859375
CE1,7.14361047744751
CE2,7.4850382804870605
CE3,7.82646369934082
CG,8.168261528015137
CG1,8.511494636535645
CG2,8.854742050170898
CH2,9.197989463806152
CZ,9.719602584838867
CZ2,11.668129920959473
CZ3,13.616656303405762
O,15.56518268585205
OH,17.513809204101562
OD1,15.496347427368164
OD2,13.478981971740723
OE1,11.46161937713623
OE2,9.444255828857422
OG,8.122827529907227
OG1,6.888387680053711
N,5.65392541885376
NE,4.419462203979492
NE1,3.890439510345459
NE2,3.562986373901367
ND1,3.2355096340179443
ND2,2.9080560207366943
NZ,3.115410089492798
NH1,3.590191602706909
NH2,4.064972400665283
SD,4.539736747741699
SG,4.75074577331543
UNKNOWN,4.75074577331543
