atom_type,importance_sum
C,5.912068843841553
CA,5.912068843841553
CB,7.1825032234191895
CD,10.04105281829834
CD1,12.899603843688965
CD2,15.758149147033691
CE,17.162939071655273
CE1,15.660480499267578
CE2,14.158012390136719
CE3,12.655547142028809
CG,11.087531089782715
CG1,9.289907455444336
CG2,7.492278575897217
CH2,5.6946539878845215
CZ,4.182883262634277
CZ2,4.957932949066162
CZ3,5.732982158660889
O,6.508031845092773
OH,7.283078670501709
OD1,7.257436275482178
OD2,7.231792449951172
OE1,7.206148624420166
OE2,7.18050479888916
OG,7.6009440422058105
OG1,8.077143669128418
N,8.553343772888184
NE,9.029541969299316
NE1,9.083815574645996
NE2,9.01752758026123
ND1,8.951238632202148
ND2,8.884950637817383
NZ,8.62207317352295
NH1,8.260984420776367
NH2,7.899898052215576
SD,7.538812160491943
SG,7.378288269042969
UNKNOWN,7.378288269042969
