atom_type,importance_sum
C,2.672140598297119
CA,2.672140598297119
CB,3.1667847633361816
CD,4.279756546020508
CD1,5.392702102661133
CD2,6.505680561065674
CE,7.36326265335083
CE1,7.710097312927246
CE2,8.056923866271973
CE3,8.403717994689941
CG,8.533597946166992
CG1,7.90413761138916
CG2,7.274635314941406
CH2,6.645133972167969
CZ,6.237924575805664
CZ2,7.609030723571777
CZ3,8.980098724365234
O,10.351205825805664
OH,11.722314834594727
OD1,10.85080337524414
OD2,9.979289054870605
OE1,9.10777759552002
OE2,8.23626708984375
OG,8.58616828918457
OG1,9.088743209838867
N,9.591320037841797
NE,10.093897819519043
NE1,10.243176460266113
NE2,10.291499137878418
ND1,10.339824676513672
ND2,10.388148307800293
NZ,10.529533386230469
NH1,10.71732234954834
NH2,10.905196189880371
SD,11.09298324584961
SG,11.176454544067383
UNKNOWN,11.176454544067383
