atom_type,importance_sum
C,2.309213876724243
CA,2.309213876724243
CB,2.5007920265197754
CD,2.9318673610687256
CD1,3.3629422187805176
CD2,3.794037342071533
CE,4.250738620758057
CE1,4.758710861206055
CE2,5.266674518585205
CE3,5.774636268615723
CG,6.168701648712158
CG1,6.164100170135498
CG2,6.159497261047363
CH2,6.154895782470703
CZ,6.35048246383667
CZ2,8.147557258605957
CZ3,9.944635391235352
O,11.74171257019043
OH,13.53879165649414
OD1,12.009794235229492
OD2,10.480796813964844
OE1,8.951803207397461
OE2,7.4228081703186035
OG,7.334191799163818
OG1,7.425624370574951
N,7.517057418823242
NE,7.608489990234375
NE1,8.256691932678223
NE2,9.06393051147461
ND1,9.87116527557373
ND2,10.678401947021484
NZ,10.247230529785156
NH1,9.196972846984863
NH2,8.146642684936523
SD,7.096348762512207
SG,6.629511833190918
UNKNOWN,6.629511833190918
