atom_type,importance_sum
C,3.716158866882324
CA,3.716158866882324
CB,4.591028690338135
CD,6.55944299697876
CD1,8.527909278869629
CD2,10.496374130249023
CE,11.67797565460205
CE1,11.285845756530762
CE2,10.893719673156738
CE3,10.501693725585938
CG,9.929810523986816
CG1,8.728986740112305
CG2,7.528163909912109
CH2,6.327338695526123
CZ,5.313374996185303
CZ2,5.794294834136963
CZ3,6.275210857391357
O,6.75612735748291
OH,7.2370429039001465
OD1,7.22072696685791
OD2,7.204409122467041
OE1,7.1880927085876465
OE2,7.171776294708252
OG,7.094666481018066
OG1,7.009956359863281
N,6.925246715545654
NE,6.840538024902344
NE1,7.391671180725098
NE2,8.124431610107422
ND1,8.857148170471191
ND2,9.589934349060059
NZ,10.451592445373535
NH1,11.377732276916504
NH2,12.3037748336792
SD,13.229913711547852
SG,13.641520500183105
UNKNOWN,13.641520500183105
