atom_type,importance_sum
C,2.947566270828247
CA,2.947566270828247
CB,3.5229597091674805
CD,4.8176188468933105
CD1,6.112236976623535
CD2,7.406898498535156
CE,8.267160415649414
CE1,8.258659362792969
CE2,8.250226020812988
CE3,8.24173355102539
CG,8.548163414001465
CG1,9.956727981567383
CG2,11.3652925491333
CH2,12.773858070373535
CZ,13.976940155029297
CZ2,13.536149024963379
CZ3,13.095356941223145
O,12.65456771850586
OH,12.213775634765625
OD1,10.213675498962402
OD2,8.213574409484863
OE1,6.213433265686035
OE2,4.213332653045654
OG,4.6923065185546875
OG1,5.481168746948242
N,6.270025730133057
NE,7.05888557434082
NE1,7.323818206787109
NE2,7.4391021728515625
ND1,7.554348468780518
ND2,7.669591426849365
NZ,7.216207504272461
NH1,6.47852897644043
NH2,5.740852355957031
SD,5.003173828125
SG,4.675310134887695
UNKNOWN,4.675310134887695
