atom_type,importance_sum
C,3.8583343029022217
CA,3.8583343029022217
CB,3.844660758972168
CD,3.8138787746429443
CD1,3.783106565475464
CD2,3.752323865890503
CE,3.99344801902771
CE1,4.778392791748047
CE2,5.563323020935059
CE3,6.348257064819336
CG,7.181507110595703
CG1,8.183850288391113
CG2,9.186220169067383
CH2,10.188591003417969
CZ,11.059460639953613
CZ2,10.878373146057129
CZ3,10.697283744812012
O,10.51619815826416
OH,10.335110664367676
OD1,9.698501586914062
OD2,9.061893463134766
OE1,8.425283432006836
OE2,7.788696765899658
OG,8.254050254821777
OG1,8.857179641723633
N,9.460309028625488
NE,10.063437461853027
NE1,9.865554809570312
NE2,9.43884563446045
ND1,9.012088775634766
ND2,8.585329055786133
NZ,8.438858032226562
NH1,8.432477951049805
NH2,8.426153182983398
SD,8.41977596282959
SG,8.416932106018066
UNKNOWN,8.416932106018066
