atom_type,importance_sum
C,2.03233003616333
CA,2.03233003616333
CB,2.3489205837249756
CD,3.0612411499023438
CD1,3.7735843658447266
CD2,4.485927104949951
CE,5.010641574859619
CE1,5.160184383392334
CE2,5.309723854064941
CE3,5.459266185760498
CG,6.0921502113342285
CG1,8.416757583618164
CG2,10.741368293762207
CH2,13.065979957580566
CZ,15.079506874084473
CZ2,14.60441780090332
CZ3,14.129322052001953
O,13.654231071472168
OH,13.179140090942383
OD1,11.396156311035156
OD2,9.613176345825195
OE1,7.830198287963867
OE2,6.0472187995910645
OG,5.079232215881348
OG1,4.2131218910217285
N,3.3470118045806885
NE,2.4809017181396484
NE1,3.1696817874908447
NE2,4.302732467651367
ND1,5.435760498046875
ND2,6.568832874298096
NZ,7.042582035064697
NH1,7.1866655349731445
NH2,7.330749988555908
SD,7.474836826324463
SG,7.538877487182617
UNKNOWN,7.538877487182617
